,lead,lead,lead,lead,lead_fwd,lead_fwd,lead_fwd,lead_fwd,open_pass,open_pass,open_pass,open_pass,open_rec,open_rec,open_rec,open_rec,gain,gain,gain,gain,speed,speed,speed,speed
Felix Eduardo Torres Caicedo,87,0.29410613503176464,-0.238283647173375,0.7328655529439131,87,-0.6263213107604332,-1.133673855874393,-0.3350746567862201,,,,,,,,,,,,,87,-1.026288461661407,-2.9122947037906926,0.5666779473670471
Kléper Laveran Lima Ferreira,140,0.2645334092844687,-0.05376521497713011,0.9015138694342922,140,-0.46608371738859844,-1.1567816138436875,0.03701721953547875,99.0,0.043937282158074374,-0.12077559506645286,0.10775695774710423,109.0,0.07449257740635581,-0.24079598828954632,0.23801374134592462,95.0,0.10232701251817404,-0.041051826326916264,0.19074289551214124,140,0.5341401177237544,-0.930405618383999,1.4271707821636255
Granit Xhaka,103,0.2317538968989409,-0.14310361044586298,0.5074100210977901,103,-0.3008268049721362,-0.7685896610728211,0.43589969338644236,,,,,83.0,0.09034636143238027,-0.014709531955648142,0.14543028592421506,,,,,103,0.9191714535833109,0.20480664620716113,1.6763981494020295
Leander Dendoncker,80,0.23037561902237197,-0.08217332979569879,0.4734692458808714,80,-0.7918083435831169,-0.9105009251135436,-0.6392035959011395,,,,,,,,,,,,,80,-0.6653128728701201,-0.8677458794961891,-0.5078649788276219
Lucas Tolentino Coelho de Lima,93,0.22779953437310274,-0.11009649921262638,0.5878378119339295,93,0.0030538560619541378,-0.6283588536840474,0.849251924298573,,,,,,,,,,,,,93,0.5145950672387528,0.007936718239163037,1.4559277474500567
Wataru Endo,93,0.22475949513964305,-0.6860727026356845,0.5700388164104796,93,-0.18234349429198052,-1.1937101321254797,0.15538709003995435,,,,,,,,,,,,,93,0.5795335561102011,0.47804101882055056,1.094901284347068
Achraf Hakimi Mouh,136,0.1950146266955671,-0.11972142158881824,0.6594528568421116,136,-0.2220439802150099,-0.5626426045355984,0.19260169102191765,83.0,-0.24250490551043544,-0.3604015081943178,-0.12872579386366872,96.0,-0.3742400151672076,-0.561894320665284,-0.16924836987251543,,,,,136,0.32819367552589684,-0.3721046555907371,0.9356852650587537
Sofyan Amrabat,141,0.19150569435173279,-0.3299468868570596,0.6879147272701741,141,0.560969652225566,0.17806548010036627,0.8706106259304341,94.0,0.10263904598435403,0.015345724585414914,0.13690352111763865,122.0,-0.0856388313350226,-0.3704272333134072,0.10478411402454123,91.0,-0.10965917716709406,-0.26110067778576357,0.048805846132295466,141,-0.19658587161850344,-1.019376109810786,0.7551927380725084
Luke Shaw,174,0.1766330313096463,0.023563223489258357,0.45247934349387325,174,-0.9201300762378148,-1.0621929286514618,-0.7312990035033151,99.0,-0.013615533381768883,-0.21938839665497803,0.1241924052459472,134.0,-0.12673697886944663,-0.2521829428153863,-0.04930817063472767,93.0,-0.09904964011888323,-0.22035799348608173,0.0732256718196442,174,-0.9207328749597256,-1.4846904818782332,-0.3762145350148111
Luka Modrić,236,0.16014231381926164,-0.21605895636296504,0.4824244560556359,236,0.8205053991901833,0.3118248050265344,1.361387697779461,156.0,-0.0641117354412598,-0.14546878241144703,-0.0033346023339590413,186.0,-0.05587150502302544,-0.22960409712766947,0.09082034964122544,148.0,0.02437368073503312,-0.09769624167806086,0.1301780145986831,236,0.5676679059868709,-0.12684074846870813,1.388511254547886
Éder Gabriel Militão,112,0.1600706352920755,-0.2868921936598244,0.594058292063074,112,-0.43358584805068456,-0.7449359767864038,-0.25195730575273434,,,,,91.0,0.09639314353810209,-0.06729604107325358,0.2695372719523385,,,,,112,0.8999080228731374,0.11482216060479707,2.187216443779643
John Stones,254,0.15886490987342122,-0.1827696881539655,0.4692551454286641,254,-0.25163592571986526,-0.5275899199105708,0.008752077655011193,190.0,-0.07590587558158018,-0.11267771505610799,-0.0368002299214819,230.0,-0.11836013762594916,-0.25576502884112556,-0.0337610061020013,184.0,0.017151691627104688,-0.08891805051497444,0.09769615912150152,254,-0.5521181801463735,-1.2028565977496863,-0.008365897114212968
Antoine Griezmann,117,0.14918374943489035,-0.11558607662298813,0.580529212948032,117,0.22044519680042088,-0.16757777850319872,0.811822921166912,,,,,96.0,0.19588815639448973,0.05068179601769307,0.30920402739629527,,,,,116,0.4759836513892679,-0.34392607198889114,1.8156689573310836
Hakim Ziyech,107,0.14792225251771435,-0.2035080164695508,0.7314764536895212,107,1.5577266987505227,1.1640829762787979,2.4036806523149203,,,,,85.0,-0.35717185480753877,-0.49525729878234137,-0.15917440425802754,,,,,107,0.10729852981098968,-0.8094308963189476,0.9769500110372982
Héctor Alfredo Moreno Herrera,92,0.13298344399428358,-0.5012630784807492,0.6402047952515927,92,0.18332077371895322,-0.9116550753228315,0.9530833226046372,,,,,,,,,,,,,92,-0.11623625089308111,-0.28200277786368927,0.18288063056946902
Rúben Santos Gato Alves Dias,130,0.13067359955415414,-0.15248211093941688,0.9022097025078817,130,0.19109428896823974,-0.2205715285454181,0.5980313468453516,96.0,0.06860834934748876,-0.03721990550619098,0.12210150675676423,113.0,0.21549329603544004,0.12275554112797489,0.2792895155812393,95.0,0.16933588861802895,0.1354785544368782,0.19743697912176905,130,0.3207228724989545,-1.4367528622121353,1.781160454864508
Daniel Olmo Carvajal,93,0.13027031565358843,-0.04900912591257886,0.5688462201042491,93,-0.40110868931506044,-0.8922395380558972,-0.09698737160636602,,,,,,,,,,,,,93,0.2762243482559987,-0.1970154648576847,0.9125624187089677
Joachim Andersen,93,0.12879895760595986,-0.30294008425539,0.9748898225714997,93,-0.27059207737962815,-0.42636416089025647,-0.06247512453533613,,,,,,,,,,,,,93,0.3685108587766854,0.030615027880557744,0.5871586844021276
Nahuel Molina Lucero,122,0.12507626093068563,-0.21064751095551548,0.6483178661139039,122,-0.6043536311125906,-0.8786071971418363,-0.1782156020534923,80.0,-0.07209763694611102,-0.3133988339867403,0.05053890769999386,94.0,0.011544468991528127,-0.3039041733650444,0.16642255297028655,,,,,122,-0.6307996862900922,-1.242852796744008,0.3656326492247741
Kylian Mbappé Lottin,94,0.11511643843561316,-0.3244258644945351,0.7117749760679482,94,0.7156992368348398,0.2085534663194959,1.3144630476726278,,,,,,,,,,,,,94,-0.49859366899187635,-1.1400963404254483,0.19972934922563537
Toby Alderweireld,154,0.1052716519317723,-0.4040345248973983,0.6841474305881997,154,-0.5377438461761107,-1.5351594642938984,0.21591192501406672,98.0,0.08772887974808274,0.06475961381099934,0.1332363149343669,119.0,0.155715061598595,0.023515317244356376,0.21736206164563332,92.0,0.06802446916733924,-0.1282356433851902,0.1505717425256539,154,0.11143124004285364,-1.9667816127043491,2.8201697805590924
Joško Gvardiol,261,0.09464209093450682,-0.2015869407975866,0.4332862651606507,261,0.5601843901885133,0.17958488628998562,0.8533092117137976,175.0,-0.004743845733689014,-0.07352227883756077,0.07792394280225308,219.0,0.018929991418744966,-0.04567715277267525,0.10021890802504849,166.0,0.05112238043502301,-0.044787295832240163,0.13366997265864813,261,0.5648327990430475,-0.23154903548500227,1.4017632857044227
In-Beom Hwang,99,0.08865891323691438,-0.3142898320602367,0.3980659855186554,99,0.167948516308561,-0.3350235268166374,0.595051653576876,,,,,,,,,,,,,99,0.10711006930607654,-0.4636096328822996,0.5591880406879857
William Silva de Carvalho,92,0.0861662596026848,-0.9172786917132832,0.5679658087084001,92,-0.12375055335425224,-0.5479600781931576,0.2527912662110967,,,,,83.0,0.016293654293044777,-0.0654429362678462,0.12633908686744635,,,,,92,0.42076489168235354,-0.36729588883154035,0.9570268587361197
Marcos Aoás Corrêa,202,0.0724180680403926,-0.13617529101165565,0.4329252739205333,202,0.007173849246559699,-0.577333454281656,0.5933124954503537,148.0,0.0002970321533204303,-0.134249090038205,0.1097333106564837,177.0,0.058546793988993706,-0.1252339963157902,0.1741384187147442,145.0,0.03090016273767662,-0.0786942706427963,0.10768660154686382,202,-0.3276721948632621,-0.9602553053684403,0.4502822521777984
Jules Koundé,100,0.06752121332901069,-0.25204212970647294,0.5362342436691192,100,-1.105199095856609,-1.8028647335759111,-0.49030309350505913,,,,,,,,,,,,,100,0.018583142174280757,-0.7270015534705839,0.6450702350007006
Antonio Rüdiger,138,0.05549882604931367,-0.23067042273718913,0.5542041618490355,138,0.27538881019376527,-0.1461492258552158,0.7455627602379088,117.0,0.07135048195746936,-0.07223832650789337,0.1127068528687563,124.0,0.1476263807554854,-0.18209552087382183,0.3227888034190861,113.0,0.07269061409122199,-0.14022844569960738,0.27117098614054086,138,-0.5677017088348301,-1.067217855308426,-0.29433749821906674
Saša Lukić,95,0.05332863826202105,-0.49135239126475855,0.5764768402199678,95,-0.5686749866100738,-0.8587606408754199,0.09555406663121807,,,,,,,,,,,,,95,0.7401501849736851,-0.37593930850007257,1.7368929370555821
Youssouf Sabaly,82,0.02883052762447883,-0.2552008097572561,0.9076476169654359,82,-0.4228604624939331,-0.6914576926871919,-0.14931523302724892,,,,,,,,,,,,,82,-1.0311348930864017,-1.8935255261536108,-0.38892910250443785
Raphaël Varane,142,0.025653380443309618,-0.36543710348261454,0.3162039330246053,142,-0.11504115292715436,-0.7509664872758993,0.3979645563885451,98.0,0.018048528101550186,-0.0147790043872297,0.04989745972328411,106.0,0.09978592722522607,0.010180480480195311,0.15920442548516248,90.0,0.08441816896046371,-0.03492305488581389,0.18503308786765366,142,0.726950332765105,0.40260694885773796,1.1388237912948294
Moisés Isaac Caicedo Corozo,80,0.012843887201638315,-0.5145286838092122,0.7144519175544067,80,0.2189100555927816,-0.34576103123191454,1.0607554935992056,,,,,,,,,,,,,80,-0.18017135213013505,-1.2355765252438868,0.3517753537153614
Lionel Andrés Messi Cuccittini,147,0.010046557404891687,-0.3527644437191858,0.31623307138820556,147,0.7183867310565434,0.27635992815552346,1.188381940074886,110.0,0.03650452775740812,-0.054346306059694344,0.128470190212564,125.0,0.18085282982397438,0.018564707590174437,0.3180520199208814,105.0,0.13537721679117945,0.0006681576503709177,0.26653975520480755,146,-0.5285191525229728,-1.4055735937729976,0.47983620602365973
Joshua Kimmich,113,0.0020953505134526846,-0.32473792304438426,0.05807738133716168,113,-0.3873117903750034,-1.5607892758998188,-0.2674553999726347,,,,,95.0,0.14990248954192448,-0.08538742704739374,0.34746764142580633,,,,,113,-1.222666433902864,-1.643775823435642,-0.1519781306717949
Carlos Henrique Casimiro,122,0.001749814821561033,-0.41955156113700554,0.6079993742156655,122,0.3852648322800995,0.041748272584501776,0.7496114018528681,85.0,-0.060525284252438014,-0.20190699692267716,0.09852914250158099,104.0,0.03885017131126878,-0.08607618881564809,0.164226411244058,82.0,-0.009055514968815351,-0.26903705409150275,0.24936631390718378,122,-0.3458511545150235,-0.9481031445904835,0.3639458337881973
Bernardo Mota Veiga de Carvalho e Silva,142,-0.02507520876327254,-0.49112579536044937,0.5400925519607023,142,0.6013013618843738,0.4113186706047731,1.0287095993996094,97.0,0.18983775341416584,0.14284194705997835,0.2254687371263432,118.0,0.2689944497696141,0.22250099787557281,0.33073048112824005,91.0,0.13066182224783052,0.04294212999870708,0.2492869030206463,142,-0.075310667594487,-1.4067372395960955,1.1354608332721994
Tyler Adams,129,-0.03550595488826063,-0.22291287554314324,0.15194504933234929,129,-0.44867125476141423,-0.920157399921041,0.2960490857943876,83.0,-0.12394603789715623,-0.3269020955735399,0.007908005126262493,103.0,0.0334068335780513,-0.1160143829608291,0.2577246141481919,,,,,129,-0.41246756372691656,-1.316529182375615,0.371996135728814
Jhegson Sebastián Méndez Carabalí,86,-0.047356471006961436,-0.2938576652443308,0.2950062987671626,86,-0.08197839627905142,-0.4021162972870082,0.14852089244667735,,,,,,,,,,,,,86,-1.4208771922187373,-1.660188400533761,-1.2485731222319203
Andreas Christensen,135,-0.057253423186822264,-0.15612524271292924,0.013982388592356931,135,0.13097393124108955,-0.8585045524193203,0.827627009083157,95.0,0.06539416412321687,-0.027758031682046845,0.12654607757545636,112.0,0.21660499634409675,0.173869005996686,0.2556363867679667,93.0,0.1441579341348207,0.12029839704325927,0.1916875391787616,135,-0.21417603513264002,-1.0222580824971084,1.2852353371977687
Danilo Luiz da Silva,124,-0.07188443842016821,-0.4865981498016614,0.41839042090287265,124,-0.9025646421940817,-1.3858102043377658,-0.5791646694127526,,,,,101.0,-0.025219642173703077,-0.2920741557279455,0.1609183739325458,,,,,124,-0.580886030459118,-1.6796061266529738,0.5086517369544209
João Pedro Cavaco Cancelo,107,-0.07361240846906288,-0.30648735571653485,0.3456666079541633,107,-0.4119488060273776,-0.8317820962557659,-0.17021971639518246,80.0,0.00716734399482038,-0.15882096223050246,0.16528261139926176,95.0,-0.06036396008701669,-0.3578026687617339,0.0845025512743131,,,,,107,-0.5943528765306091,-1.3500538446685133,0.5218395147962018
Sergino Dest,87,-0.0827247909819429,-0.2738231775713079,0.2834471675030874,87,-0.43722125216677493,-0.8781379314061485,-0.06588878600067176,,,,,,,,,,,,,87,-0.1130990997278998,-0.7933169327025311,0.6397895810589658
Alexis Mac Allister,155,-0.08285623216899404,-0.3570009183851633,0.1241154807923142,155,0.49586847817033275,-0.12566021655602094,1.0964514720560958,109.0,0.09154143994826057,-0.06483824888389592,0.2349282322913905,135.0,0.046091153072411,-0.1635887164802279,0.2105315188805687,105.0,-0.0017771522462067405,-0.1072131884178832,0.12576713544403448,155,-0.1947224426732421,-1.080182200083962,0.861296658049474
Alex Sandro Lobo Silva,80,-0.08310874028408861,-0.4717878747719812,0.3883268875837312,80,-0.8541326211017092,-2.3482379379355893,-0.7809629409392417,,,,,,,,,,,,,80,0.30862115923706385,-1.0749581973139921,0.6155829454529632
Kamal Miller,103,-0.08348447621325454,-0.21296017412848184,0.1929809765858449,103,-1.112902782013379,-2.016864763358541,-0.5699882904838459,,,,,89.0,-0.2523991564452304,-0.7468789021841499,-0.04586002166811386,,,,,103,0.6219976146063346,0.41263355623299214,0.9505203026531418
Marcelo Brozović,266,-0.08361714795119532,-0.3266689313380148,0.07461194775892555,266,-0.013307598134081706,-0.2531652415972369,0.1977613397327606,176.0,-0.02061124175519258,-0.06362008507114296,0.028312772738606076,221.0,-0.06083009919986651,-0.16485053823759135,0.03806993967509463,173.0,-0.09220535864874677,-0.28386624360616075,0.03654012167002489,266,0.04797203913736496,-0.8361718737323056,1.233668354052252
Steven de Sousa Vitoria,97,-0.09452367724901284,-0.46261495889981774,0.4897857074527871,97,-0.6488390957424627,-1.2021215080126075,-0.18003700747316137,,,,,85.0,0.2605510567086012,0.017339127881168124,0.36319607879399896,,,,,97,0.3011527823641056,-0.36307324009305336,2.09105318250091
Nicolás Hernán Otamendi,307,-0.11365696484487378,-0.34177071129655434,0.1397024192562091,307,0.35092152685567823,-0.010539502464730996,0.6911361564555137,203.0,0.05169416155619805,-0.005651238837928825,0.10128038528741934,244.0,0.14785344560349467,0.04147899788372112,0.2522188336220708,198.0,0.08859255006361062,0.0005710995157648157,0.17386459414874164,307,0.12162530740537758,-0.441888660221597,0.6175636096611006
Mateo Kovačić,250,-0.11411182356281335,-0.3926815236045374,0.14450420306034528,250,0.03892429961962014,-0.3461979233020437,0.43714508456874135,173.0,-0.09024758119160116,-0.23520758611675494,0.0766282260734504,207.0,0.016742264796041916,-0.17506501547888906,0.23283460818610605,170.0,0.10108222306769044,0.004895902132906303,0.20938266865537591,250,0.11335829818051243,-0.5777378401156232,0.9166571298618726
Andrej Kramarić,85,-0.12140588835499902,-0.5970264226034412,0.3586678088129434,85,0.05480360079036214,-0.28246690825958476,0.46070505537270273,,,,,,,,,,,,,85,-0.9458306167791428,-1.5104689173261021,-0.1259959942959191
Jude Bellingham,133,-0.12747807594357397,-0.3349888328060347,0.16162181641557985,133,-0.1785500138489397,-0.7301010186182988,0.70825748401552,89.0,-0.053478724416447604,-0.18877355975951096,0.07198549878498324,104.0,0.01201184825277256,-0.14945967526884982,0.08087919465672987,83.0,-0.01637243181324724,-0.2700793396919831,0.13579043764551413,133,-0.42122906384948916,-0.9103795150414309,0.04899286987754795
Jan Vertonghen,143,-0.1278353308471241,-0.48444888618634474,0.9508945830751674,143,0.27893579694977266,-1.0137970541395303,0.6427588485962262,93.0,0.07626213465091955,-0.1350497110551022,0.12998551007853826,108.0,0.1654724450529777,-0.12784217331395598,0.2627077320703666,90.0,0.12306745793435116,0.03605506204577947,0.18576384173265306,143,0.012618285010534391,-1.388068683001006,2.0498859420910254
Min Jae Kim,87,-0.15628773528282922,-0.3473987157224535,0.09986939556753478,87,-0.2792681680410363,-0.5871400037572828,-0.1297609737679908,,,,,,,,,,,,,87,-0.028094167558919986,-1.7963204643140958,0.809851564812008
Borna Sosa,108,-0.16107019766563238,-0.5554675091940772,0.23526271135505344,108,-0.19737470771286691,-0.31408524840631813,-0.09631759124304017,,,,,,,,,,,,,108,0.3845119200338927,-0.31490887465642703,1.2690940926480387
Rúben Diogo Da Silva Neves,126,-0.17078122775137947,-0.33624136688458367,0.14189134226517858,126,0.053521405142741,-0.7132096875481048,0.902225104702075,,,,,107.0,0.11857504280617197,-0.015087198802298226,0.2517668843760384,,,,,126,0.4053162067961172,-0.5248005185447365,1.2646257723308674
Dayotchanculle Upamecano,177,-0.18390294497482196,-0.5077138472297098,0.5119247425884552,177,-0.6006698901465082,-0.883942121751523,-0.3979358060167101,124.0,0.04927377903972987,0.021295484855614683,0.0895137462618191,144.0,0.09575412568623155,0.036007437074395125,0.19303571059376456,117.0,0.10608454824811565,0.02593452181289567,0.15980888273627603,177,0.25465530372875483,-0.609476395164636,0.8804307571482689
Josip Juranović,127,-0.18712771361468933,-0.6553892892215374,0.1115851982762417,127,-0.259232096482148,-0.484813476099743,-0.02848631061266129,83.0,0.060858943640079544,-0.08075648851578046,0.16860945629215343,97.0,0.0038922472792554293,-0.26518252436305756,0.2051423600018808,82.0,-0.07853453764975515,-0.2255583446031479,0.07918925501296314,127,0.7636819116032236,-0.006809677012480111,1.5225716251892427
Frenkie de Jong,221,-0.20082727290077754,-0.5891734229010896,0.17705668188622858,221,0.1651113101303544,-0.31536945913821574,0.5848121046328828,159.0,-0.09321112074080228,-0.13070087425563126,-0.060435468116984914,190.0,-0.08377847625972713,-0.158564588767182,-0.019771125385204633,155.0,0.02137890803066911,-0.06748734943297809,0.13306422052324327,220,-0.05916204631409079,-0.26691940534513914,0.11976858486050282
Rodrigo Javier De Paul,250,-0.2070523066402118,-0.4081042406206392,0.1476322532548733,250,-0.3848517774520566,-0.7325151890978583,-0.06740508731397567,168.0,0.020637547474036316,-0.17927530964659338,0.14375387343603244,214.0,0.011762807455945795,-0.16345933773884977,0.11927906683687582,159.0,-0.06808585686825878,-0.18597379083081475,0.03100287134501791,250,-0.16339631528918153,-0.4958270334418115,0.292325583456954
Cristian Gabriel Romero,190,-0.20908355645960802,-0.4659585606814695,0.09490836410783432,190,-0.6322299642035573,-1.0610777156725693,-0.22964565076191637,142.0,-0.13482914645676447,-0.3665959070767931,0.018645022150276313,167.0,-0.03393515148943331,-0.2579761719440947,0.1743676070223246,139.0,0.06449758914928239,-0.1467528748727548,0.21351505554009495,190,0.2682352359936793,-0.6761610902490668,1.3140328513875774
Manuel Obafemi Akanji,115,-0.21817388821469783,-0.5235465491415978,0.14005024116463044,115,-0.07831130356368513,-0.33499858276629796,0.3592849256228594,,,,,92.0,0.052203058854209464,-0.0779792205633695,0.1617771023730682,,,,,115,0.11411526029986022,-0.09299931746992623,0.29898661060030973
Azzedine Ounahi,128,-0.22192072097041812,-0.4914533958431088,-0.07264167133969589,128,0.6919446647674621,0.24218882590233248,1.2643588927457188,83.0,-0.06925261105085773,-0.303187617336929,0.11641741573528826,104.0,-0.2817559760498139,-0.41357249747778413,-0.08531376913867993,,,,,128,0.699011274083648,0.09154029763499273,1.6203995720847906
Aurélien Djani Tchouaméni,274,-0.22694888826834717,-0.6593216175381413,0.12503291039835762,274,-0.07415229128042851,-0.41833374482004704,0.2614298263134835,183.0,-0.009198951546760918,-0.10899421633571876,0.08842774478552176,223.0,-0.022322988603645157,-0.13382807940729172,0.06333098830425359,178.0,0.031129866010343638,-0.10407865344021383,0.13014182881042027,274,0.40923694467721483,0.027237592375589096,0.7562134693237639
Sergio Busquets i Burgos,157,-0.2274417958993606,-0.48840471631029975,0.11846880234745735,157,0.10300357856923291,-0.16943229767052592,0.4504580294257369,116.0,0.0026249701388302332,-0.04161075896701785,0.054736058993557296,144.0,-0.057208077236160094,-0.2157782483098396,0.05955432074588518,112.0,-0.08341034478126777,-0.2733513994797407,0.08532175934489798,157,0.9071581816829358,-0.16691493608274613,2.2183997894776537
Piero Martín Hincapié Reyna,105,-0.232685462731267,-0.7142556254420432,0.5954899178482919,105,-0.38474369490558663,-0.8238187028940916,0.03238424450283913,,,,,91.0,0.15785576240783564,-0.14145102161308815,0.19984772377288518,,,,,105,-0.07751895167374327,-0.7177898263954603,0.6739690861296945
Jordi Alba Ramos,181,-0.25311329017174533,-0.5136941343270635,0.07359051716160828,181,-0.4588377403846607,-1.259948802241149,0.19327632153984203,122.0,0.06706623989246936,-0.04061224549459163,0.1694040781574009,154.0,0.09521201972633894,-0.21033149511200916,0.28660127594256596,121.0,0.054387896862596714,-0.1579961291889458,0.2167309824722734,181,0.9288195160907536,0.07682988851682525,1.6534957904050718
Rodrigo Hernández Cascante,427,-0.2730519256351756,-0.5093338522579238,-0.06492143774100416,427,1.1174730284727774,0.8312022068866759,1.2737871449239664,318.0,0.047886994361967375,0.011607623508082232,0.09008952780424193,380.0,0.10358941459582408,0.06397490006215827,0.14878069419151202,304.0,0.031041121605667462,-0.0034276303683890607,0.048086363386570026,427,1.216307220263983,0.3912195559143553,3.2781786427645394
Jurriën David Norman Timber,168,-0.2884854700980248,-0.6514090201490128,0.3593683010805732,168,-0.1159738972341094,-0.3966125486796913,0.5443771834267525,102.0,-0.0856196396122659,-0.20722172689111662,0.04961406314213285,125.0,-0.01400439181107221,-0.08643536187522018,0.18025350483531688,99.0,0.0028939294027214096,-0.05681292101838599,0.1624806405519059,168,-0.06164841457474321,-1.224871797610358,0.6314770887107323
Walker Zimmerman,123,-0.289098827305072,-0.6801431174894715,-0.055937190606068,123,0.0591614936350067,-1.1042899045656596,1.4613541427191998,93.0,0.04005300203393591,0.0065818474408048284,0.12077735685880697,105.0,0.11947586362030971,0.014631624959890252,0.22445588448918682,87.0,0.07451173047882084,0.022562010173696738,0.11569702406262197,123,0.3917522717926488,-0.5237384014714642,2.3913658362696277
Thiago Emiliano da Silva,195,-0.3042037984449806,-0.5123409034441049,-0.02916548112470918,195,-0.0625003949830417,-0.5321714668623825,0.445796376330647,146.0,-0.010330875066258117,-0.0857522873245404,0.05913621517163348,171.0,-0.00683668349704587,-0.18699236342231643,0.1635809232242383,140.0,-0.05017845214171013,-0.22336026456726174,0.14399509512330227,195,-0.40684090015150653,-0.9971517354253014,0.0990282309572925
Daley Blind,121,-0.31219698092784925,-0.6840236258026645,0.11058451113599041,121,-0.8771502829744895,-1.8399789857822317,-0.22116272219163435,86.0,-0.2387282763782766,-0.34905347761177524,-0.1565930716660709,107.0,-0.33992124323164624,-0.6495188032211578,-0.0021639116752137973,81.0,-0.22083538631550206,-0.4592196381115945,0.04623172453627217,121,0.4768785580995336,-0.4550348584361286,0.9709825265235125
Dejan Lovren,206,-0.3149907473658883,-0.7320869486628296,0.08040973605323865,206,0.4036161514886648,0.14103195664311302,0.6142558660511416,154.0,0.002680086661302378,-0.09699375384592793,0.07162623865747243,176.0,0.11606026572531493,-0.05200543411814036,0.23280979069742458,150.0,0.12431061660179431,0.009158118265875486,0.19672511022607314,206,1.0841722007938,0.2824797278685704,2.179917184662005
Adrien Rabiot,148,-0.32985237170849924,-0.6123541183328852,0.1450554382030675,148,-0.21380498415673893,-0.4634926976512678,0.017727809685218903,97.0,0.008583942471803592,-0.1070795921570963,0.0956909776134883,115.0,0.0986770813154444,-0.09813156212570726,0.28900271472788874,93.0,0.05348105106310736,-0.2540740975292596,0.2802822633730318,148,-0.3034489058385229,-0.653971169447678,0.14699198900008814
Axel Witsel,105,-0.33202779888777817,-0.4741303446724713,-0.026072049401856964,105,0.7027475771790869,0.2903557958490852,0.9328504007497641,,,,,82.0,-0.0211180172937578,-0.18192419692378922,0.19461753932801792,,,,,105,0.17558316174463925,-1.5364371402817276,1.7645116562337686
Maya Yoshida,135,-0.33846950575801865,-0.9224968969265193,-0.21420115605820853,135,-0.05103328431758162,-1.2037594930279734,0.18083015952007983,99.0,0.035175368313735904,-0.2594766051549771,0.09729825452963405,113.0,0.12530558384055054,-0.2984848748834954,0.23489625696085484,91.0,0.08328476852492785,-0.2282679837379181,0.18995187780504236,135,0.03869689138772488,-0.2520929749383992,0.2404903381750434
Enzo Fernandez,250,-0.3471849003778466,-0.6240567492503946,0.013201876605856878,250,0.4474677358352815,-0.0017121738586287026,1.0015011790934802,181.0,0.04274471653142277,-0.00025298899849121614,0.0846061561503978,213.0,0.07571608509497917,-0.016997840594194808,0.12903767976144884,172.0,0.043992874198610574,-0.05386624845850854,0.12523192024589003,250,0.2770631155746614,-0.19312005311282862,1.0274979732917398
